ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Count	Effect_1_MGEF_FID	Effect_1_MGEF_EID	Effect_1_Magnitude	Effect_1_Area	Effect_1_Duration	Effect_1_CURV_EID	Effect_2_MGEF_FID	Effect_2_MGEF_EID	Effect_2_Magnitude	Effect_2_Area	Effect_2_Duration	Effect_2_CURV_EID	Effect_3_MGEF_FID	Effect_3_MGEF_EID	Effect_3_Magnitude	Effect_3_Area	Effect_3_Duration	Effect_3_CURV_EID	Effect_4_MGEF_FID	Effect_4_MGEF_EID	Effect_4_Magnitude	Effect_4_Area	Effect_4_Duration	Effect_4_CURV_EID	Effect_5_MGEF_FID	Effect_5_MGEF_EID	Effect_5_Magnitude	Effect_5_Area	Effect_5_Duration	Effect_5_CURV_EID	Effect_6_MGEF_FID	Effect_6_MGEF_EID	Effect_6_Magnitude	Effect_6_Area	Effect_6_Duration	Effect_6_CURV_EID	Effect_7_MGEF_FID	Effect_7_MGEF_EID	Effect_7_Magnitude	Effect_7_Area	Effect_7_Duration	Effect_7_CURV_EID	Effect_8_MGEF_FID	Effect_8_MGEF_EID	Effect_8_Magnitude	Effect_8_Area	Effect_8_Duration	Effect_8_CURV_EID	Effect_9_MGEF_FID	Effect_9_MGEF_EID	Effect_9_Magnitude	Effect_9_Area	Effect_9_Duration	Effect_9_CURV_EID	Effect_10_MGEF_FID	Effect_10_MGEF_EID	Effect_10_Magnitude	Effect_10_Area	Effect_10_Duration	Effect_10_CURV_EID	Effect_11_MGEF_FID	Effect_11_MGEF_EID	Effect_11_Magnitude	Effect_11_Area	Effect_11_Duration	Effect_11_CURV_EID	Effect_12_MGEF_FID	Effect_12_MGEF_EID	Effect_12_Magnitude	Effect_12_Area	Effect_12_Duration	Effect_12_CURV_EID	Effect_13_MGEF_FID	Effect_13_MGEF_EID	Effect_13_Magnitude	Effect_13_Area	Effect_13_Duration	Effect_13_CURV_EID	Effect_14_MGEF_FID	Effect_14_MGEF_EID	Effect_14_Magnitude	Effect_14_Area	Effect_14_Duration	Effect_14_CURV_EID	Effect_15_MGEF_FID	Effect_15_MGEF_EID	Effect_15_Magnitude	Effect_15_Area	Effect_15_Duration	Effect_15_CURV_EID	Effect_16_MGEF_FID	Effect_16_MGEF_EID	Effect_16_Magnitude	Effect_16_Area	Effect_16_Duration	Effect_16_CURV_EID	Effect_17_MGEF_FID	Effect_17_MGEF_EID	Effect_17_Magnitude	Effect_17_Area	Effect_17_Duration	Effect_17_CURV_EID	Effect_18_MGEF_FID	Effect_18_MGEF_EID	Effect_18_Magnitude	Effect_18_Area	Effect_18_Duration	Effect_18_CURV_EID	Effect_19_MGEF_FID	Effect_19_MGEF_EID	Effect_19_Magnitude	Effect_19_Area	Effect_19_Duration	Effect_19_CURV_EID	Effect_20_MGEF_FID	Effect_20_MGEF_EID	Effect_20_Magnitude	Effect_20_Area	Effect_20_Duration	Effect_20_CURV_EID	Effect_21_MGEF_FID	Effect_21_MGEF_EID	Effect_21_Magnitude	Effect_21_Area	Effect_21_Duration	Effect_21_CURV_EID	Effect_22_MGEF_FID	Effect_22_MGEF_EID	Effect_22_Magnitude	Effect_22_Area	Effect_22_Duration	Effect_22_CURV_EID	Effect_23_MGEF_FID	Effect_23_MGEF_EID	Effect_23_Magnitude	Effect_23_Area	Effect_23_Duration	Effect_23_CURV_EID	Effect_24_MGEF_FID	Effect_24_MGEF_EID	Effect_24_Magnitude	Effect_24_Area	Effect_24_Duration	Effect_24_CURV_EID	Effect_25_MGEF_FID	Effect_25_MGEF_EID	Effect_25_Magnitude	Effect_25_Area	Effect_25_Duration	Effect_25_CURV_EID	Effect_26_MGEF_FID	Effect_26_MGEF_EID	Effect_26_Magnitude	Effect_26_Area	Effect_26_Duration	Effect_26_CURV_EID	Effect_27_MGEF_FID	Effect_27_MGEF_EID	Effect_27_Magnitude	Effect_27_Area	Effect_27_Duration	Effect_27_CURV_EID	Effect_28_MGEF_FID	Effect_28_MGEF_EID	Effect_28_Magnitude	Effect_28_Area	Effect_28_Duration	Effect_28_CURV_EID	Effect_29_MGEF_FID	Effect_29_MGEF_EID	Effect_29_Magnitude	Effect_29_Area	Effect_29_Duration	Effect_29_CURV_EID	Effect_30_MGEF_FID	Effect_30_MGEF_EID	Effect_30_Magnitude	Effect_30_Area	Effect_30_Duration	Effect_30_CURV_EID	Globals_Count	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40	Ref_41	Ref_42	Ref_43	Ref_44	Ref_45	Ref_46	Ref_47	Ref_48	Ref_49	Ref_50	Ref_51	Ref_52	Ref_53	Ref_54	Ref_55	Ref_56	Ref_57	Ref_58	Ref_59	Ref_60	Ref_61	Ref_62	Ref_63	Ref_64	Ref_65	Ref_66	Ref_67	Ref_68	Ref_69	Ref_70	Ref_71	Ref_72	Ref_73	Ref_74	Ref_75	Ref_76	Ref_77	Ref_78	Ref_79	Ref_80	Ref_81	Ref_82	Ref_83	Ref_84	Ref_85	Ref_86	Ref_87	Ref_88	Ref_89	Ref_90	Ref_91	Ref_92	Ref_93	Ref_94	Ref_95	Ref_96	Ref_97	Ref_98	Ref_99	Ref_100	Ref_101	Ref_102	Ref_103	Ref_104	Ref_105	Ref_106	Ref_107	Ref_108	Ref_109	Ref_110	Ref_111	Ref_112	Ref_113	Ref_114	Ref_115	Ref_116	Ref_117	Ref_118	Ref_119	Ref_120	Ref_121	Ref_122	Ref_123	Ref_124	Ref_125	Ref_126	Ref_127	Ref_128	Ref_129	Ref_130	Ref_131	Ref_132	Ref_133	Ref_134	Ref_135	Ref_136	Ref_137	Ref_138	Ref_139	Ref_140	Ref_141	Ref_142	Ref_143	Ref_144	Ref_145	Ref_146	Ref_147	Ref_148	Ref_149	Ref_150	Ref_151	Ref_152	Ref_153	Ref_154	Ref_155	Ref_156	Ref_157	Ref_158	Ref_159	Ref_160	Ref_161	Ref_162	Ref_163	Ref_164	Ref_165	Ref_166	Ref_167	Ref_168	Ref_169	Ref_170	Ref_171	Ref_172	Ref_173	Ref_174	Ref_175	Ref_176	Ref_177	Ref_178	Ref_179	Ref_180	Ref_181	Ref_182	Ref_183	Ref_184	Ref_185	Ref_186	Ref_187	Ref_188	Ref_189	Ref_190	Ref_191	Ref_192	Ref_193
000BA45A	mod_Lining_FieldGen_Radiation_CloakEnchantment_2	Field Gen Radiation 2	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA45D:mod_Lining_FieldGen_Radiation_CloakEffect_2	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA45B	mod_Lining_FieldGen_Radiation_CloakEnchantment_3	Field Gen Radiation 3	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA45F:mod_Lining_FieldGen_Radiation_CloakEffect_3	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA45C	mod_Lining_FieldGen_Radiation_CloakEnchantment_4	Field Gen Radiation 4	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA460:mod_Lining_FieldGen_Radiation_CloakEffect_4	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA469	mod_Lining_FieldGen_EMP_CloakEnchantment_1	Field Gen EMP 1	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA465:mod_Lining_FieldGen_EMP_CloakEffect_1	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA46A	mod_Lining_FieldGen_EMP_CloakEnchantment_2	Field Gen EMP 2	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA466:mod_Lining_FieldGen_EMP_CloakEffect_2	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000BA46B	mod_Lining_FieldGen_EMP_CloakEnchantment_3	Field Gen EMP 3	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000BA467:mod_Lining_FieldGen_EMP_CloakEffect_3	10.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000EB220	SPECIAL_INT_1	SPECIAL Intelligence 1	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0004C938:AbFortifyIntelligence	1.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
000FC3F0	MirelurkKingSonicAttackSpell	Sonic	001	Fire and Forget	Contact	Enchantment	0.000000			2	000FC3F1:MirelurkKingSonicEffect	50.000000	0	120			001BF725:crMirelurkKingStaggerEffect	2.000000	0	0																																																																																																																																																																											0	2	000FC3EC:crWeapMirelurkKing:WEAP	00636969:zzzE09A_Launcher_Weapon:WEAP																																																																																																																																																																																															
000DB3B2	Ench_UnarmedFeralGhoul_dtRadiation	Radiation Damage	101	Fire and Forget	Contact	Enchantment	0.000000			1	001CD034:DamageRadiationWeaponDuration	17.000000	0	0																																																																																																																																																																																	0	1	000C2C2C:crUnarmedFeralGhoul:WEAP																																																																																																																																																																																																
00106FB9	EnchYaoGuaiRoarFear	Fear	001	Fire and Forget	Self	Enchantment	0.000000			1	00106FBA:YaoGuaiRoarFearEffect	25.000000	40	10																																																																																																																																																																																	0	0																																																																																																																																																																																																	
0011003F	EnchWeapModShock	Electrical Damage	001	Fire and Forget	Contact	Enchantment	0.000000			1	000856FC:dtElectricalEffectChanceAlways	10.000000	0	0																																																																																																																																																																																	0	4	00113C6D:CUT_DLC04_mod_melee_PaddleBall_Electric:OMOD	0013A30E:POST-Parent_mod_melee_Weapon_ShockAndStun:OMOD	0017919C:zzz_TEMPLATE_mod_melee_weapon_Damage_Low:OMOD	002E80F1:zzz_TestWeapon_Shock:WEAP																																																																																																																																																																																													
00115315	crEnchMirelurkQueenSpit		001	Fire and Forget	Contact	Enchantment	0.000000			1	00126284:MirelurkQueenPoisonEffectPlayer	5.000000	0	4																																																																																																																																																																																	0	3	00108176:crExplosionMirelurkQueenSpit:EXPL	00664AF9:crExplosionUltraciteAbominationBelch:EXPL	006BCA1C:XPD_OvergrownBoss_Heavy_Explosion:EXPL																																																																																																																																																																																														
0011D53B	PowerArmorImpactEnchantment	Power Armor Impact	0000000000000000000000000000000000000000000000000000000000000000	Fire and Forget	Self	Enchantment	0.000000			3	0011D53C:DamageHealth	14.000000	0	0			0011D53C:DamageHealth	30.000000	0	0			00226449:StaggerSelfEffect	2.000000	0	0																																																																																																																																																																					0	0																																																																																																																																																																																																	
00122622	modEnchAssaultronHead		001	Constant Effect	Self	Enchantment	0.000000			1	00122625:abAssaultronHeadLaser	0.000000	0	0																																																																																																																																																																																	0	3	000C862C:Bot_HeadHumanoidAssaultron:OMOD	0010F0FE:DLC01Bot_Head_Assaultron_Enc:OMOD	003A88BF:POST_Bot_HeadLiberatorAssaultron:OMOD																																																																																																																																																																																														
00125C84	EnchPowerArmor_Jetpack	Jetpack	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	00125C83:abPowerArmorJetpack	1.000000	0	0																																																																																																																																																																																	0	2	003D4E56:_PARENT_mod_PowerArmor_GENERIC_JetPack:OMOD	007455D9:_PARENT_mod_PowerArmor_VaultPA_JetPack:OMOD																																																																																																																																																																																															
0014781B	modEnchSentryBotOverheat		001	Constant Effect	Self	Enchantment	0.000000			1	0014781A:abSentryBotOverheatEffect	0.000000	0	0																																																																																																																																																																																	0	1	000C366E:Bot_TorsoSentrybot:OMOD																																																																																																																																																																																																
00148430	tpShogunsDecapitatorEnch		001	Fire and Forget	Contact	Enchantment	0.000000			1	00148431:tpShogunsDecapitatorEFFECT	0.000000	0	1																																																																																																																																																																																	0	0																																																																																																																																																																																																	
00148D8F	crMirelurkHunterSpitAttackSpell	Spit	101	Fire and Forget	Contact	Enchantment	0.000000			1	00130DBC:RadScorpion_dtPoisonEffectChanceAlways	4.000000	0	7																																																																																																																																																																																	0	1	0009F24D:crMirelurkHunterSpitWeapon:WEAP																																																																																																																																																																																																
0014EF47	EnchPowerArmor_HazmatRadReduction_NPCONLY	Hazmat Suit	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0014EF48:HazmatSuitPerkEffect	0.000000	0	0																																																																																																																																																																																	0	6	0053820A:W05_Armor_HazmatSuit_NONPLAYABLE:ARMO	0058AFD4:Armor_HazmatSuitDamaged_NONPLAYABLE:ARMO	0059674B:ATX_Armor_HazmatSuit_Orange_NONPLAYABLE:ARMO	0059674C:Armor_HazmatSuit_Black_NONPLAYABLE:ARMO	0059674D:ATX_Armor_HazmatSuit_SwampCamo_NONPLAYABLE:ARMO	0083C252:Burn_Bloody_SpaceSuit_UNPLAYABLE:ARMO																																																																																																																																																																																											
00155868	EnchWaterBreathing	Water Breathing	0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	000E36FA:AbWaterbreathing	0.000000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
0016939D	EnchPowerArmor_BatteryDamageRateT60		0000000000000000000000000000000000000000000000000000000000000000	Constant Effect	Self	Enchantment	0.000000			1	0016939E:abReducePABatteryDamageRateEffect	0.300000	0	0																																																																																																																																																																																	0	0																																																																																																																																																																																																	
