FormID	EDID	FULL	XALG_Flags	SWFI	RENT_FormID	RENT_EDID	RENT_FULL	ReferencedBy
008B5341	WorldPets_AVTR_PlayerIcon_Deathclaw02	Player Icon Deathclaw 02		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetDeathclaw02.dds	008B53A2	WorldPets_ENTM_Deathclaw_ICON_02_FaceIcon	Deathclaw Face Player Icon	
008B5340	WorldPets_AVTR_PlayerIcon_Deathclaw01	Player Icon Deathclaw 01		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetDeathclaw01.dds	008B53A1	WorldPets_ENTM_Deathclaw_ICON_01_PawIcon	Deathclaw Print Player Icon	
008B1F15	WorldPets_AVTR_PlayerIcon_Radhog02	Player Icon Radhog 02		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetRadhog02.dds	008B1F1B	WorldPets_ENTM_Radhog_ICON_02_FaceIcon	Radhog Face Player Icon	
008B1F14	WorldPets_AVTR_PlayerIcon_Radhog01	Player Icon Radhog 01		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetRadhog01.dds	008B1F1A	WorldPets_ENTM_Radhog_ICON_01_PawIcon	Radhog Print Player Icon	
008B1F13	WorldPets_AVTR_PlayerIcon_Dog02	Player Icon Dog 02		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetDog02.dds	008B1F19	WorldPets_ENTM_Dog_ICON_02_FaceIcon	Dog Face Player Icon	
008B1F12	WorldPets_AVTR_PlayerIcon_Dog01	Player Icon Dog 01		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetDog01.dds	008B1F18	WorldPets_ENTM_Dog_ICON_01_PawIcon	Dog Print Player Icon	
008B1F11	WorldPets_AVTR_PlayerIcon_Cat02	Player Icon Cat 02		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetCat02.dds	008B1F17	WorldPets_ENTM_Cat_ICON_02_FaceIcon	Cat Face Player Icon	
008B1F10	WorldPets_AVTR_PlayerIcon_Cat01	Player Icon Cat 01		Textures/ATX/Storefront/Player/PlayerIcons/WorldPets_PlayerIcon_PetCat01.dds	008B1F16	WorldPets_ENTM_Cat_ICON_01_PawIcon	Cat Print Player Icon	
008ABF85	SCORE_S24_AVTR_PlayerIcon_UFOAbduction	UFO Abduction	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_UFOAbduction.dds	008ABF8E	SCORE_S24_ENTM_PlayerIcon_UFOAbduction	Abduction Icon	
008ABF84	SCORE_S24_AVTR_PlayerIcon_SpaceGuinevere	Guinevere In Space	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_SpaceGuinevere.dds	008ABF8D	SCORE_S24_ENTM_PlayerIcon_SpaceGuinevere	Guinevere In Space Icon	
008ABF83	SCORE_S24_AVTR_PlayerIcon_SpaceCow	Space Cow	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_SpaceCow.dds	008ABF8C	SCORE_S24_ENTM_PlayerIcon_SpaceCow	Space Cow Icon	
008ABF82	SCORE_S24_AVTR_PlayerIcon_SmilingManPatch	Smiling Man Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchSmilingMan.dds	008ABF8B	SCORE_S24_ENTM_PlayerIcon_SmilingManPatch	Smiling Man Patch Icon	
008ABF81	SCORE_S24_AVTR_PlayerIcon_MothmanPatch	Mothman Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchMothman.dds	008ABF8A	SCORE_S24_ENTM_PlayerIcon_MothmanPatch	Mothman Patch Icon	
008ABF80	SCORE_S24_AVTR_PlayerIcon_JerseyDevilPatch	Jersey Devil Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchJerseyDevil.dds	008ABF89	SCORE_S24_ENTM_PlayerIcon_JerseyDevilPatch	Jersey Devil Patch Icon	
008ABF7F	SCORE_S24_AVTR_PlayerIcon_GraftonMonsterPatch	Grafton Monster Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchGraftonMonster.dds	008ABF88	SCORE_S24_ENTM_PlayerIcon_GraftonMonsterPatch	Grafton Monster Patch Icon	
008ABF7E	SCORE_S24_AVTR_PlayerIcon_FlatwoodsMonsterPatch	Flatwoods Monster Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchFlatwoodsMonster.dds	008ABF87	SCORE_S24_ENTM_PlayerIcon_FlatwoodsMonsterPatch	Flatwoods Monster Patch Icon	
008ABF7D	SCORE_S24_AVTR_PlayerIcon_AlienPatch	Alien Patch	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S24_CryptidPatchAlien.dds	008ABF86	SCORE_S24_ENTM_PlayerIcon_AlienPatch	Alien Patch Icon	
008953F4	SCORE_MiniSeason_LoveHurts_AVTR_PlayerIcon_WoundedHeart	Rusted Heart	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23MiniSeason2_WoundedHeart.dds	008953F5	SCORE_MiniSeason_LoveHurts_ENTM_PlayerIcon_WoundedHeart	Rusted Heart Player Icon	
0086A885	SCORE_MiniSeason_2025_SunsetStranger_AVTR_PlayerIcon_BlueStarCap	Blue Star Cap	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23MiniSeason1_BlueStarCap.dds	0086A88A	SCORE_MiniSeason_2025_SunsetStranger_ENTM_PlayerIcon_BlueStarCap	Blue Star Cap Player Icon	
0086A884	SCORE_S23_AVTR_PlayerIcon_SkullandSawblade	Skull and Sawblade	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_SkullandSawblade.dds	0086A88E	SCORE_S23_ENTM_PlayerIcon_SkullandSawblade	Skull and Sawblade Player Icon	
0086A883	SCORE_S23_AVTR_PlayerIcon_Radscorpion	Radscorpion	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_Radscorpion.dds	0086A889	SCORE_S23_ENTM_PlayerIcon_Radscorpion	Radscorpion Player Icon	
0086A882	SCORE_S23_AVTR_PlayerIcon_Radhog	Radhog	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_Radhog.dds	0086A88F	SCORE_S23_ENTM_PlayerIcon_Radhog	Radhog Player Icon	
0086A881	SCORE_S23_AVTR_PlayerIcon_BurningSpringsFish	Withered Radeye	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_WitheredRadeyeFish.dds	0086A888	SCORE_S23_ENTM_PlayerIcon_BurningSpringsFish	Withered Radeye Player Icon	
0086A880	SCORE_S23_AVTR_PlayerIcon_RaiderWithPistol	Raider With Pistol	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_RaiderWithPistol.dds	0086A88D	SCORE_S23_ENTM_PlayerIcon_RaiderWithPistol	Raider With Pistol Player Icon	
0086A87F	SCORE_S23_AVTR_PlayerIcon_BountyHunter	Bounty Hunter	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_BountyHunter.dds	0086A88B	SCORE_S23_ENTM_PlayerIcon_BountyHunter	Bounty Hunter Icon	
0086A87E	SCORE_S23_AVTR_PlayerIcon_RustKingdom	Rust Kingdom	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_RustKingdomFaction.dds	0086A886	SCORE_S23_ENTM_PlayerIcon_RustKingdom	Rust Kingdom Player Icon	
0086A87D	SCORE_MiniSeason_2025_SunsetStranger_AVTR_PlayerIcon_Festus	Festus	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23MiniSeason1_Festus.dds	0086A887	SCORE_MiniSeason_2025_SunsetStranger_ENTM_PlayerIcon_Festus	Festus Player Icon	
0086A87C	SCORE_S23_AVTR_PlayerIcon_DeathclawLogo	Blood x Rust	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S23_BloodxRustLogo.dds	0086A88C	SCORE_S23_ENTM_PlayerIcon_DeathclawLogo	Blood x Rust Player Icon	
0084BC95	SCORE_S22_AVTR_PlayerIcon_VB_Soup	Soup Chef	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_Chef.dds	0084BCA2	SCORE_S22_ENTM_PlayerIcon_VB_Soup	Soup Chef Player Icon	
0084BC94	SCORE_S22_AVTR_PlayerIcon_SunsetSarsaparillaDeputy	Sunset Sarsaparilla Deputy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_SunsetSarsaparilla_Deputy.dds	0084BCA1	SCORE_S22_ENTM_PlayerIcon_SunsetSarsaparillaDeputy	Sunset Sarsaparilla Deputy Player Icon	
0084BC93	SCORE_S22_AVTR_PlayerIcon_SunsetSarsaparilla	Sunset Sarsaparilla	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_SunsetSarsaparilla_Logo.dds	0084BCA0	SCORE_S22_ENTM_PlayerIcon_SunsetSarsaparilla	Sunset Sarsaparilla Player Icon	
0084BC92	SCORE_S22_AVTR_PlayerIcon_Sarsaparilla_Girl	Sunset Sarsaparilla Girl	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_SunsetSarsaparilla_Girl.dds	0084BC9F	SCORE_S22_ENTM_PlayerIcon_Sarsaparilla_Girl	Sunset Sarsaparilla Girl Player Icon	
0084BC91	SCORE_S22_AVTR_PlayerIcon_Sarsaparilla_Boy	Sunset Sarsaparilla Boy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_SunsetSarsaparilla_Boy.dds	0084BC9E	SCORE_S22_ENTM_PlayerIcon_Sarsaparilla_Boy	Sunset Sarsaparilla Boy Player Icon	
0084BC90	SCORE_S22_AVTR_PlayerIcon_RacecarDriver	Racecar Driver	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_RacecarDriver.dds	0084BC9D	SCORE_S22_ENTM_PlayerIcon_RacecarDriver	Racecar Driver Player Icon	
0084BC8F	SCORE_S22_AVTR_PlayerIcon_MrFuzzy_Cranberry	Mr. Cran	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_MrFuzzy_NukaColaCranberry.dds	0084BC97	SCORE_S22_ENTM_PlayerIcon_MrFuzzy_Cranberry	Mr. Cran Player Icon	
0084BC8E	SCORE_S22_AVTR_PlayerIcon_Nuka-Cola_Logo	Nuka-Cola Logo	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_NukaCola_Logo.dds	0084BC9A	SCORE_S22_ENTM_PlayerIcon_Nuka-Cola_Logo	Nuka-Cola Logo Player Icon	
0084BC8D	SCORE_S22_AVTR_PlayerIcon_CosmicKnife_Man	Cosmic Knife Chef	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_CosmicKnife_Mascot.dds	0084BC99	SCORE_S22_ENTM_PlayerIcon_CosmicKnife_Man	Cosmic Knife Chef Player Icon	
0084BC8C	SCORE_S22_AVTR_PlayerIcon_Abraxo	Abraxo	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_Abraxo.dds	0084BC9B	SCORE_S22_ENTM_PlayerIcon_Abraxo	Abraxo Player Icon	
0084BC8B	SCORE_S22_AVTR_PlayerIcon_QueenCorn	Queen Corn	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_QueenCorn.dds	0084BC96	SCORE_S22_ENTM_PlayerIcon_QueenCorn	Queen Corn Player Icon	
0084BC8A	SCORE_S22_AVTR_PlayerIcon_BeheadedChicken	Beheaded Chicken	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_BeheadedChicken.dds	0084BC98	SCORE_S22_ENTM_PlayerIcon_BeheadedChicken	Beheaded Chicken Player Icon	
0084BC89	SCORE_S22_AVTR_PlayerIcon_GarrahanMining	Garrahan Mining	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S22_GarrahanMining_Logo.dds	0084BC9C	SCORE_S22_ENTM_PlayerIcon_GarrahanMining	Garrahan Mining Player Icon	
0081EDEC	SCORE_S21_AVTR_PlayerIcon_TripleThreat	Triple Threat	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_TripleThreat.dds	0081EDFD	SCORE_S21_ENTM_PlayerIcon_TripleThreat	Triple Threat Player Icon	
0081EDEB	SCORE_S25_AVTR_PlayerIcon_TimberSawgill	Timber Sawgill	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_TimberSawgill.dds	0081EDFC	SCORE_S25_ENTM_PlayerIcon_TimberSawgill	Timber Sawgill Player Icon	
0081EDEA	SCORE_S21_AVTR_PlayerIcon_Spikesnapper	Spikesnapper	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_Spikesnapper.dds	0081EDFB	SCORE_S21_ENTM_PlayerIcon_Spikesnapper	Spikesnapper Player Icon	
0081EDE9	SCORE_S21_AVTR_PlayerIcon_Poseidon	Poseidon	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_Poseidon.dds	0081EDFA	SCORE_S21_ENTM_PlayerIcon_Poseidon	Poseidon Player Icon	
0081EDE8	SCORE_S25_AVTR_PlayerIcon_NoxiousSawgill	Noxious Sawgill	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_NoxiousSawgill.dds	0081EDF9	SCORE_S25_ENTM_PlayerIcon_NoxiousSawgill	Noxious Sawgill Player Icon	
0081EDE7	SCORE_S21_AVTR_PlayerIcon_Linda-Lee	Linda-Lee	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_Linda-Lee.dds	0081EDF8	SCORE_S21_ENTM_PlayerIcon_Linda-Lee	Linda-Lee Player Icon	
0081EDE6	SCORE_S21_AVTR_PlayerIcon_JitterBell	Jitter Bell	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_JitterBell.dds	0081EDF7	SCORE_S21_ENTM_PlayerIcon_JitterBell	Jitter Bell Player Icon	
0081EDE5	SCORE_S21_AVTR_PlayerIcon_IsotopeIsaac	Isotype Isaac	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_IsotypeIsaac.dds	0081EDF6	SCORE_S21_ENTM_PlayerIcon_IsotopeIsaac	Isotype Isaac Player Icon	
0081EDE4	SCORE_S25_AVTR_PlayerIcon_GlowingKanawhaPiranha	Glowing Kanawha Piranha	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_GlowingKanawhaPiranha.dds	0081EDF5	SCORE_S25_ENTM_PlayerIcon_GlowingKanawhaPiranha	Glowing Kanawha Piranha Player Icon	
0081EDE3	SCORE_S25_AVTR_PlayerIcon_GlowingBogLurker	Glowing Bog Lurker	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_GlowingBogLurker.dds	0081EDF4	SCORE_S25_ENTM_PlayerIcon_GlowingBogLurker	Glowing Bog Lurker Player Icon	
0081EDE2	SCORE_S21_AVTR_PlayerIcon_FishPot	Fish Pot	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_FishPot.dds	0081EDF3	SCORE_S21_ENTM_PlayerIcon_FishPot	Fish Pot Player Icon	
0081EDE1	SCORE_S21_AVTR_PlayerIcon_FisherVaultBoy	Fisher Vault Boy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_FisherVaultBoy.dds	0081EDF2	SCORE_S21_ENTM_PlayerIcon_FisherVaultBoy	Fisher Vault Boy Player Icon	
0081EDE0	SCORE_S21_AVTR_PlayerIcon_Euphonium	Euphonium Union	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_Euphonium.dds	0081EDF1	SCORE_S21_ENTM_PlayerIcon_Euphonium	Euphonium Union Player Icon	
0081EDDF	SCORE_S21_AVTR_PlayerIcon_ChainsawVaultGirl	Chainsaw Vault Girl	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_ChainsawVaultGirl.dds	0081EDEF	SCORE_S21_ENTM_PlayerIcon_ChainsawVaultGirl	Chainsaw Vault Girl Player Icon	
0081EDDE	SCORE_S21_AVTR_PlayerIcon_Amphitrite	Amphitrite	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_Amphitrite.dds	0081EDEE	SCORE_S21_ENTM_PlayerIcon_Amphitrite	Amphitrite Player Icon	
0081EDDD	SCORE_S21_AVTR_PlayerIcon_DSSBNUD	DSSBNUD	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_DottieDSSBNUD.dds	0081EDF0	SCORE_S21_ENTM_PlayerIcon_DSSBNUD	DSSBNUD Player Icon	
0081EDDC	SCORE_S21_AVTR_PlayerIcon_GoneFission	Gone Fission	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S21_GoneFission.dds	0081EDED	SCORE_S21_ENTM_PlayerIcon_GoneFission	Gone Fission Player Icon	
007DC482	ATX_AVTR_PlayerIcon_RadioactiveWarningSymbol	Radioactive Warning Symbol	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_RadioactiveWarningSymbol.dds	007DC483	ATX_ENTM_PlayerIcon_RadioactiveWarningSymbol	Radioactive Warning Symbol Player Icon	
007D0EC9	SCORE_S20_AVTR_PlayerIcon_ActionGhoul_Girl	Action Ghoul Girl	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_ActionGhoulGirl.dds	007D0ECC	SCORE_S20_ENTM_PlayerIcon_ActionGhoul_Girl	Action Ghoul Girl Player Icon	
007D0EC8	SCORE_S20_AVTR_PlayerIcon_ActionGhoul_Boy	Action Ghoul Boy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_ActionGhoulBoy.dds	007D0ECD	SCORE_S20_ENTM_PlayerIcon_ActionGhoul_Boy	Action Ghoul Boy Player Icon	
007D0EC7	SCORE_S20_AVTR_PlayerIcon_ChemDiet	Chem Diet	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_ChemDiet.dds	007D0ECA	SCORE_S20_ENTM_PlayerIcon_ChemDiet	Chem Diet Player Icon	
007D0EC6	SCORE_S20_AVTR_PlayerIcon_MadScientist	Mad Scientist	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_MadScientist.dds	007D0ED0	SCORE_S20_ENTM_PlayerIcon_MadScientist	Mad Scientist Player Icon	
007D0EC5	SCORE_S20_AVTR_PlayerIcon_BombScientist	Bomb Scientist	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_BombScientist.dds	007D0ED3	SCORE_S20_ENTM_PlayerIcon_BombScientist	Bomb Scientist Player Icon	
007D0EC4	SCORE_S20_AVTR_PlayerIcon_RifleGhoul_Boy	Armed Ghoul Boy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_ArmsOfSteel.dds	007D0ED6	SCORE_S20_ENTM_PlayerIcon_RifleGhoul_Boy	Armed Ghoul Boy Player Icon	
007D0EC3	SCORE_S20_AVTR_PlayerIcon_BattleDiet	Battle Diet	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_BattleDiet.dds	007D0ECB	SCORE_S20_ENTM_PlayerIcon_BattleDiet	Battle Diet Player Icon	
007D0EC2	SCORE_S20_AVTR_PlayerIcon_ScienceMonster	Science Monster	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_ScienceMonster.dds	007D0ED2	SCORE_S20_ENTM_PlayerIcon_ScienceMonster	Science Monster Player Icon	
007D0EC1	SCORE_S20_AVTR_PlayerIcon_BreatheItIn	Breathe It In	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_BreatheItIn.dds	007D0ECE	SCORE_S20_ENTM_PlayerIcon_BreatheItIn	Breathe It In Player Icon	
007D0EC0	SCORE_S20_AVTR_PlayerIcon_RifleGhoul_Girl	Armed Ghoul Girl	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_GhoulGirl.dds	007D0ECF	SCORE_S20_ENTM_PlayerIcon_RifleGhoul_Girl	Armed Ghoul Girl Player Icon	
007D0EBF	SCORE_S20_AVTR_PlayerIcon_WhackARat	Whack-A-Rat	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_RadReaver.dds	007D0ED4	SCORE_S20_ENTM_PlayerIcon_WhackARat	Whack-A-Rat Player Icon	
007D0EBE	SCORE_S20_AVTR_PlayerIcon_CowboyTricks	Trick Shot	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_GunTricks.dds	007D0ED5	SCORE_S20_ENTM_PlayerIcon_CowboyTricks	Trick Shot Player Icon	
007D0EBD	SCORE_S20_AVTR_PlayerIcon_CowboyShots	Fan The Hammer	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S20_WildWestHands.dds	007D0ED1	SCORE_S20_ENTM_PlayerIcon_CowboyShots	Fan The Hammer Player Icon	
007B2904	SCORE_S19_AVTR_PlayerIcon_PlayerIcon10	Enclave Logo	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_FactionEnclave01.dds	007B290D	SCORE_S19_ENTM_PlayerIcon_PlayerIcon10	Enclave Logo Player Icon	
007B2903	SCORE_S19_AVTR_PlayerIcon_PlayerIcon1	Test Monkey	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_TestMonkey.dds	007B2909	SCORE_S19_ENTM_PlayerIcon_PlayerIcon1	Test Monkey Player Icon	
007B2902	SCORE_S19_AVTR_PlayerIcon_PlayerIcon2	Tesla Cannon	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_TeslaCannon.dds	007B2907	SCORE_S19_ENTM_PlayerIcon_PlayerIcon2	Tesla Cannon Player Icon	
007B2901	SCORE_S19_AVTR_PlayerIcon_PlayerIcon4	Enclave Scientist	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_EnclaveScientist.dds	007B290A	SCORE_S19_ENTM_PlayerIcon_PlayerIcon4	Enclave Scientist Player Icon	
007B2900	SCORE_S19_AVTR_PlayerIcon_PlayerIcon8	DNA Scientist	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_DNALaurel.dds	007B2905	SCORE_S19_ENTM_PlayerIcon_PlayerIcon8	DNA Scientist Player Icon	
007B28FF	SCORE_S19_AVTR_PlayerIcon_PlayerIcon7	Auger	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_DrillAugerPA.dds	007B2906	SCORE_S19_ENTM_PlayerIcon_PlayerIcon7	Auger Player Icon	
007B28FE	SCORE_S19_AVTR_PlayerIcon_PlayerIcon3	Sugar Skull	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_SugarSkull.dds	007B290C	SCORE_S19_ENTM_PlayerIcon_PlayerIcon3	Sugar Skull Player Icon	
007B28FD	SCORE_S19_AVTR_PlayerIcon_PlayerIcon6	Ultracite Terror	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_Scorchtongue.dds	007B290E	SCORE_S19_ENTM_PlayerIcon_PlayerIcon6	Ultracite Terror Player Icon	
007B28FC	SCORE_S19_AVTR_PlayerIcon_PlayerIcon9	Scientific Forge	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S19_Bacteriophage.dds	007B290B	SCORE_S19_ENTM_PlayerIcon_PlayerIcon9	Scientific Forge Player Icon	
