NOTE_FormID	NOTE_EDID	FULL	DNAM_Type	Model	ICON	DATA_Value	DATA_Weight	VCRY_FormID	VCRY_EDID	PTRN	YNAM_PickupSound	ZNAM_PutdownSound	SNAM_Scene_FormID	SNAM_Scene_EDID	SNAM_Scene_FULL	DIQO_Quest_FormID	DIQO_Quest_EDID	DIQO_Quest_FULL	PNAM_ProgramFile	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33
0007850C	FF05_BalanceSoilDataHolotape	Soil Data	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	0001C035:FF05_Balance:QUST	0011B1F3:FF05_Balance_TerminalSubEnviroMonitoring:TERM	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
0007850D	FF05_BalanceAirDataHolotape	Air Data	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	0001C035:FF05_Balance:QUST	0011B1F3:FF05_Balance_TerminalSubEnviroMonitoring:TERM	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
002BA51E	FF00_Tutorial_Holotape	Welcome to the Future!	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
00068731	MTR05_IntroHolotape	Charleston Herald Exclusive: The Motherlode	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					7	00011B82:HolotapeQuest:QUST	001E7DAF:QAHolotapesChest:CONT	00331C8F::REFR	0038CD7F::REFR	0043589C::REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																										
002345CE	HolotapeGame_AtomicCommand	Atomic Command	Program	Props\Holotape_Prop.nif		0	0.000000			MiscHolotapeGame [TRNS:0021514F]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]							atomiccommand.swf	1	003D4327:UnsellableObject:KYWD					5	001E7DA9:QAHolotapeGamesChest:CONT	001E7DAF:QAHolotapesChest:CONT	0037AB42:Magazine_Holotape_AtomicCommandBook:BOOK	0043AD00:Challenge_Lifetime_Collect_Holotape_Games_AtomicCommand:CHAL	00525407:BabylonExcludeList:FLST																												
002345CF	HolotapeGame_Grognak	Grognak & The Ruby Ruins	Program	Props\Holotape_Prop.nif		0	0.000000			MiscHolotapeGame [TRNS:0021514F]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]							grognak.swf	1	003D4327:UnsellableObject:KYWD					9	001E7DA9:QAHolotapeGamesChest:CONT	001E7DAF:QAHolotapesChest:CONT	0036C8C4::REFR	00379E14:Magazine_Holotape_GrognakBook:BOOK	0043AD02:Challenge_Lifetime_Collect_Holotape_Games_Grognak:CHAL	00525407:BabylonExcludeList:FLST	0056F6C0::INFO	007A158D::REFR	007A3222::REFR																								
002345D7	HolotapeGame_Pipfall	Pipfall	Program	Props\Holotape_Prop.nif		0	0.000000			MiscHolotapeGame [TRNS:0021514F]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]							pipfall.swf	1	003D4327:UnsellableObject:KYWD					5	001E7DA9:QAHolotapeGamesChest:CONT	001E7DAF:QAHolotapesChest:CONT	00379ABC:Magazine_Holotape_PipfallBook:BOOK	0043AD04:Challenge_Lifetime_Collect_Holotape_Games_Pipfall:CHAL	00525407:BabylonExcludeList:FLST																												
002345EB	HolotapeGame_RedMenace	Red Menace	Program	props/Holotape_RedMenace.nif		0	0.000000			MiscHolotapeGame_76 [TRNS:002B84F3]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]							redmenace.swf	1	003D4327:UnsellableObject:KYWD					6	001E7DA9:QAHolotapeGamesChest:CONT	001E7DAF:QAHolotapesChest:CONT	00379ABF:Magazine_Holotape_RedMenaceBook:BOOK	0043AD05:Challenge_Lifetime_Collect_Holotape_Games_RedMenace:CHAL	00525407:BabylonExcludeList:FLST	0074E7DA::REFR																											
002345F6	HolotapeGame_ZetaInvaders	Zeta Invaders	Program	Props\Holotape_Prop.nif		0	0.000000			MiscHolotapeGame [TRNS:0021514F]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]							zetainvaders.swf	1	003D4327:UnsellableObject:KYWD					6	001E7DA9:QAHolotapeGamesChest:CONT	001E7DAF:QAHolotapesChest:CONT	003792AB:Magazine_Holotape_ZetaInvadersBook:BOOK	0043AD07:Challenge_Lifetime_Collect_Holotape_Games_ZetaInvaders:CHAL	00525407:BabylonExcludeList:FLST	00667883:XPD_Pitt01_DrugTerminal01:TERM																											
00235DBB	RS06_Manual_SanjayHolotapeModding	Responders Field Manual: Modding	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
00235DBC	RS06_Manual_SanjayHolotapeRepair	Responders Field Manual: Repair	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
0004BDCE	RS06_Manual_MariaHolotapeRadiation	Responders Field Manual: Radiation	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
0012D3EE	RS06_Manual_MariaHolotapeDisease	Responders Field Manual: Disease	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
002BDB28	TW002SecurityTape01	E.R.P. Security Station Alpha	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010E201:TW002:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002BDB29	TW002SecurityTape04	E.R.P. Security Station Delta	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010E201:TW002:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002BDB2A	TW002SecurityTape02	E.R.P. Security Station Bravo	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010E201:TW002:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002BDB2B	TW002SecurityTape03	E.R.P. Security Station Charlie	Terminal	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	0010E201:TW002:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002D1590	RS06_Manual_MelodyHolotapePlacedWeap	Responders Field Manual: Placed Weapons	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
002D1591	RS06_Manual_MelodyHolotapeThrownWeap	Responders Field Manual: Thrown Weapons	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
00027D70	RS01_Contact_MariasHolotape	Maria's Last Words	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	001E7DAF:QAHolotapesChest:CONT	0041BE61::REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001A65C5	EN01_MissionReportHolotape	Operation Summary - Blackwell	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	000714FE:EN01_MQ_Bunker:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001A65C6	EN01_Misc_BlackwellInterviewHolotape01	Sam Blackwell Interview, Pt. One	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	001E7DAF:QAHolotapesChest:CONT	0031141B::REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001A65C7	EN01_BypassHolotape	Bypass Holotape	Sound	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	000714FE:EN01_MQ_Bunker:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002AB56F	MTNS05_VoxInterpreterHolotape	Vox Interpreter Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	000043A2:MTNS05_Voices:QUST	001E7DAF:QAHolotapesChest:CONT	002DB0C9:MTNS05_VoxTerminal:TERM	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
00283EC8	EN01_WelcomeToTheWhitespringHolotape	Welcome to the Whitespring	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	000714FE:EN01_MQ_Bunker:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
00289502	BoSr02SensorBriefingHolotape	Sensor Module Specs	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	000044D0:BoSr02:QUST	001E7DAF:QAHolotapesChest:CONT	00289503::REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
0019C26F	FS03_MQ_Fruition_MasterHolotape	Master Holotape	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	00012566:FS03_MQ_Fruition:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
0007D8BD	TW007_SecurityHolotape_OtisMail	WWWP Log Ride Entry 10172077 Daily	Voice	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	001E7DAF:QAHolotapesChest:CONT	002C460C:TW007_ColdCase:QUST	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
0007D8BE	TW007_SecurityHolotape_TrackerRemoved	WWWP Slither Slide 10172077 Daily	Voice	Props\Holotape_Prop.nif		1	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	001E7DAF:QAHolotapesChest:CONT	002C460C:TW007_ColdCase:QUST	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
0029CBC1	EN02_MODUSHolotape	System Access Tape	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	000293A3:EN02_MQ_Us:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001ECE07	MTNM02_WestTek_Holotape	Advanced Mutations Lab Recording	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
00002CBA	FS_JacobPart01	Jacob's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					5	001E7DAF:QAHolotapesChest:CONT	00356B8C::REFR	0037084D:FSZ05_Traces_JacobPart01Ref:REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
00002CBB	FS_JacobPart02	Jacob's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					5	001E7DAF:QAHolotapesChest:CONT	00356B8D::REFR	0037084E:FSZ05_Traces_JacobPart02Ref:REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
00002CBC	FS_JacobPart03	Jacob's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					5	001E7DAF:QAHolotapesChest:CONT	00356B8E::REFR	0037084F:FSZ05_Traces_JacobPart03Ref:REFR	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																												
00002CBD	FS_JacobPart04	Jacob's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					6	001E7DAF:QAHolotapesChest:CONT	00356B8F::REFR	0037084B:CUT_FS_JacobSkeleton:CONT	00439977:FS_JacobCorpse:NPC_	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																											
0009C9F3	76CharGenDinerHolotape	Reclamation Day: Hunting & Scavenging	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F4	76CharGenDoctorHolotape	Reclamation Day: Wilderness Survival	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F5	76CharGenOverseerHolotape	Reclamation Day: As A Team	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F6	76CharGenReactorHolotape	Reclamation Day: Rebuilding	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F7	76CharGenCAMPHolotape	Reclamation Day: Your C.A.M.P.	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F8	76CharGenSurvivalCrateHolotape	Reclamation Day: Your Survival Crate	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
0009C9F9	76CharGenPerkHolotape	Reclamation Day: Doing Your Job	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					2	001E7DAF:QAHolotapesChest:CONT	00525407:BabylonExcludeList:FLST																															
000504B4	MTNL01_BlackwaterBanditsKeyHolotape	Blackwater Bandits Key Fragment	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
000504B8	MTNL01_TrappersKeyHolotape	Trappers Key Fragment	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
00054316	MTNL01_GourmandsKeyHolotape	Gourmands Key Fragment	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
00170490	MTNL01_DiehardsKeyHolotape	Diehards Key Fragment	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	004E4B40:MTNL01_PalaceHolotapeArchivesSubTerminal:TERM	00525407:BabylonExcludeList:FLST																												
0027E52A	MTNL01_CutthroatsKeyHolotape	Cutthroats Key Fragment	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
002EE9B0	MTNL01_MargieHolotape	Margie McClintock's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					5	00045A40:MTNL01_Raiders:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	004E35EB::REFR	00525407:BabylonExcludeList:FLST																												
0014BA7C	MTR01_EdieHolotape	Air Purifier Project Delays	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1					003D4327:UnsellableObject:KYWD	4																																	
002F16C6	SURV_Tutorial_Holotape	Your New World!	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0032E1DE:Test_Tut04_Terminal:TERM	00525407:BabylonExcludeList:FLST																														
002F1803	SURV_Tutorial_Holotape_SurvivalGuide	Prepare for the Now!	Terminal	Props/Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					3	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																														
002AA921	CB04_Virus	Robot Virus	Terminal	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]										1	003D4327:UnsellableObject:KYWD					4	001E7DAF:QAHolotapesChest:CONT	002A93F5:CB04_Mayor:QUST	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
001849E7	SFL02_Track_RandyHolotape	Randy's Holotape	Voice	Props\Holotape_Prop.nif		0	0.000000			MiscHolotape [TRNS:000995A5]	ITMHolotapeUp [SNDR:000BBFA8]	ITMHolotapeDown [SNDR:000BBFA9]								1	003D4327:UnsellableObject:KYWD					4	00131033:SFL02_Track:QUST	001E7DAF:QAHolotapesChest:CONT	0044D472:Challenge_Holotapes_All_Audio:FLST	00525407:BabylonExcludeList:FLST																													
