WEAP_FormID	WEAP_EDID	WEAP_FULL	WEAP_Model	XALG_Flags	EILV_Level	ETYP_EquipType	PTRN_PreviewTransform	IBSD_BreakSound	KeywordCount	Keywords	APPR_SlotCount	APPR_Slots
0005C250	Board	Board			1	RightHand [EQUP:00013F42]	xTranMeleeLarge [TRNS:0010A2C2]	UIBreakWeapon [SNDR:004ED233]	16	WeaponTypeMelee2H "2-Hand Melee" [KYWD:0004A0A5]|Anims2hmWeapon [KYWD:000A7C45]|ma_Board [KYWD:000E7FB3]|Anims2hmWideWeapon [KYWD:000EB4A2]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyMelee [KYWD:0010C89B]|AnimsBoard [KYWD:001AD822]|ma_CanHaveNullMeleeMod [KYWD:001C9E79]|WeaponTypeMeleeGeneral [KYWD:0033AB12]|WeaponTypeClub [KYWD:0033AB15]|WeaponTypeBlunt "Blunt" [KYWD:0033AB24]|UI_WeaponTypemelee2HBlunt [KYWD:003D0E7F]|ma_Melee_Appearance [KYWD:005117B1]|ma_legendarycrafting_weaponmelee "MELEE WEAPONS" [KYWD:0060D1A6]|ma_Misc_Legendarycrafting_Weapon_Melee4 [KYWD:006214D4]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	7	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0009983B	LaserGun	Laser			5	BothHands [EQUP:00013F45]	xTranLaserGun [TRNS:00248ABB]	UIBreakWeapon [SNDR:004ED233]	17	s_IronSightsRifle [KYWD:0003ADB4]|dn_weap_EnergyGun [KYWD:0003E208]|s_40_Laser [KYWD:0008530B]|WeaponTypeLaser [KYWD:00092A84]|ma_LaserGun [KYWD:000D1052]|modskill_EnergyGuns [KYWD:000D192C]|VATSWeaponLaserBeam [KYWD:000EA8FB]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|WeaponRequiresMods [KYWD:00193506]|ma_CanHaveNullMuzzle [KYWD:001C9E78]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeEnergy "Energy" [KYWD:0033A7C9]|ma_Gun_Appearance [KYWD:0037D0B2]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|ma_Misc_Legendarycrafting_Weapon_Ranged4 [KYWD:006214D7]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	9	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "Default Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0009F24D	crMirelurkHunterSpitWeapon	Spit Attack				MiddleHand [EQUP:0001A02F]	xTranPistol [TRNS:00031C13]		4	QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|NoRicochet [KYWD:002049E5]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000A7DA4	crWeapEyebot	EyeBot Laser				RightHand [EQUP:00013F42]	xTranPistol [TRNS:00031C13]		5	WeaponTypeLaser [KYWD:00092A84]|s_40_EyebotLaser [KYWD:000C8622]|QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000AB6AE	zzz_TutorialDummy10mm					RightHand [EQUP:00013F42]			0		0	
000B0F56	crSentryBotLeftMinigun	Sentry Bot Left Minigun				LeftHand [EQUP:00013F43]	xTranPistol [TRNS:00031C13]		5	WeaponTypeHeavyGun "Big Gun" [KYWD:0004A0A3]|s_40_SentryBotRifleAuto [KYWD:000C9D60]|QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000B0F58	crSentryBotRightMiniRocketLauncher	SentryBotRightRocketLauncher				RightHand [EQUP:00013F42]	xTranPistol [TRNS:00031C13]		5	WeaponTypeHeavyGun "Big Gun" [KYWD:0004A0A3]|s_40_SentryBotRocketLauncher [KYWD:000C9D61]|QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000BB6C0	crTurretTripodMachineGunMkI	Turret Machine Gun				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		5	AnimsGripRifleAssault [KYWD:0001F947]|WeaponTypeAutomatic [KYWD:0004A0A2]|s_40_TurretLowTech [KYWD:000CABA1]|QuickkeyGun [KYWD:0010C485]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000BB6C1	crTurretMountedLaserGun01	Turret Laser Gun				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		7	WeaponTypeAutomatic [KYWD:0004A0A2]|WeaponTypeLaser [KYWD:00092A84]|AnimsLaserGripRifle [KYWD:00099830]|QuickkeyGun [KYWD:0010C485]|s_40_TurretHighTechLaser [KYWD:0011686D]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeEnergy "Energy" [KYWD:0033A7C9]	0	
000BD56F	Fatman	Fat Man			25	BothHands [EQUP:00013F45]	xTranFatman [TRNS:0046FFD1]	UIBreakWeapon [SNDR:004ED233]	21	WeaponTypeHeavyGun "Big Gun" [KYWD:0004A0A3]|WeaponTypeExplosive "Explosive" [KYWD:0004C922]|WeaponTypeBallistic "Ballistic" [KYWD:00092A86]|AnimsFatMan [KYWD:000BC240]|s_40_FatMan [KYWD:000DBD52]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|VATSCamFatman [KYWD:00194025]|VATSWeaponLargeProjectile [KYWD:001A7B79]|ma_Fatman [KYWD:001C6BC4]|NoRicochet [KYWD:002049E5]|WeaponTypeFatman [KYWD:0022575C]|WeaponTypeRanged [KYWD:0033A7C8]|ma_Gun_Appearance [KYWD:0037D0B2]|PhotomodeGripShoulder [KYWD:003C94C1]|UI_WeaponTypeFatman [KYWD:003CFD6F]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|IsSingleShotWeapon [KYWD:00609D94]|ma_Misc_Legendarycrafting_Weapon_Ranged4 [KYWD:006214D7]|IsAmmoType_MiniNuke [KYWD:006CD243]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	10	ap_gun_Barrel [KYWD:0002249D]|ap_gun_Appearance "Default Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_Nuke [KYWD:002458A7]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000C2C27	UnarmedHuman	Unarmed Human				BothHands [EQUP:00013F45]			3	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]|CanUnarmedBlockKeyword [KYWD:00230326]	0	
000C2C28	crUnarmedBloodbug	Unarmed Bloodbug				EitherHand [EQUP:00013F44]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C29	crUnarmedBrahmin	Unarmed Brahmin				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2A	crUnarmedDeathclaw	Unarmed Deathclaw				BothHandsOtherOptional [EQUP:00043350]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2B	crUnarmedDogmeat	Unarmed Dogmeat				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2C	crUnarmedFeralGhoul	Unarmed Feral Ghoul				BothHandsOtherOptional [EQUP:00043350]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2D	crUnarmedMutantHound	Unarmed Mutant Hound				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2E	crUnarmedMirelurkHunter	Unarmed Mirelurk Hunter				BothHandsOptional [EQUP:0004334C]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C2F	crUnarmedMirelurkKing	Unarmed Mirelurk King				BothHandsOtherOptional [EQUP:00043350]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C30	crUnarmedMirelurk	Unarmed Mirelurk				BothHandsOptional [EQUP:0004334C]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C31	crUnarmedMolerat	Unarmed Molerat			1	BothHands [EQUP:00013F45]		UIBreakWeapon [SNDR:004ED233]	2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C32	UnarmedPowerArmor	Unarmed Power Armor				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C33	crUnarmedRadStag	Unarmed Rad Stag				BothHandsOptional [EQUP:0004334C]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C34	crUnarmedRadRoach	Unarmed Rad Roach				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C35	crUnarmedRadScorpion	Unarmed Rad Scorpion				BothHandsMiddleOptional [EQUP:0012FB4F]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C36	crUnarmedStingwing	Unarmed Stingwing				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C37	crUnarmedBehemoth	Unarmed Behemoth				BothHandsOtherOptional [EQUP:00043350]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C38	crUnarmedYaoGuai	Unarmed Yao Guai			1	BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000C2C39	crUnarmedViciousDog	Unarmed Vicious Dog				BothHands [EQUP:00013F45]			2	AnimsUnarmed [KYWD:0002405E]|WeaponTypeUnarmed "Fist" [KYWD:0005240E]	0	
000CE97D	44	.44			5	RightHand [EQUP:00013F42]	xTran44 [TRNS:00248AB6]	UIBreakWeapon [SNDR:004ED233]	17	AnimsGripPistol [KYWD:0001F948]|s_IronSightsPistol [KYWD:0003ADB3]|WeaponTypePistol "Pistol" [KYWD:0004A0A0]|WeaponTypeBallistic "Ballistic" [KYWD:00092A86]|Anims44 [KYWD:000CE97E]|s_40_PistolFortyFour [KYWD:000D152C]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|ma_44 [KYWD:0018871F]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeRevolver [KYWD:00340878]|ma_Gun_Appearance [KYWD:0037D0B2]|UI_WeaponTypeRevolver [KYWD:003CFD83]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|ma_Misc_Legendarycrafting_Weapon_Ranged4 [KYWD:006214D7]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]|ma_legendarycrafting_weaponexplosivebullets "BALLISTIC WEAPONS" [KYWD:00788126]	9	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "Default Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000CFB49	crSentryBotRightMinigun	Sentry Bot Right Minigun				RightHand [EQUP:00013F42]	xTranPistol [TRNS:00031C13]		5	WeaponTypeHeavyGun "Big Gun" [KYWD:0004A0A3]|s_40_SentryBotRifleAuto [KYWD:000C9D60]|QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000CFB4D	crSentryBotLeftMiniRocketLauncher	SentryBotLeftRocketLauncher				LeftHand [EQUP:00013F43]	xTranPistol [TRNS:00031C13]		5	WeaponTypeHeavyGun "Big Gun" [KYWD:0004A0A3]|s_40_SentryBotRocketLauncher [KYWD:000C9D61]|QuickkeyGun [KYWD:0010C485]|crWeaponRanged [KYWD:00189348]|WeaponTypeRanged [KYWD:0033A7C8]	0	
000D1EB0	GaussRifle	Gauss Rifle			35	RightHand [EQUP:00013F42]	xTranRifleGauss [TRNS:0012EF93]	UIBreakWeapon [SNDR:004ED233]	18	s_IronSightsRifle [KYWD:0003ADB4]|WeaponTypeRifle "Rifle" [KYWD:0004A0A1]|WeaponTypeBallistic "Ballistic" [KYWD:00092A86]|AnimsGaussRifle [KYWD:000D1EB1]|s_40_RifleGauss [KYWD:000D22BF]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|ma_GaussRifle [KYWD:001889EC]|VATSWeaponLargeProjectile [KYWD:001A7B79]|ma_CanHaveNullMuzzle [KYWD:001C9E78]|WeaponTypeGaussRifle [KYWD:00226456]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeEnergy "Energy" [KYWD:0033A7C9]|ma_Gun_Appearance [KYWD:0037D0B2]|UI_WeaponTypeGaussRifle [KYWD:003CFD74]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|ma_Misc_Legendarycrafting_Weapon_Ranged4 [KYWD:006214D7]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	15	ap_gun_Scope [KYWD:00022499]|ap_gun_Muzzle "No Muzzle" [KYWD:0002249C]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Mag "Magazine" [KYWD:0005D4D7]|ap_gun_Appearance "Default Appearance" [KYWD:00114364]|ap_gun_ScopeMove [KYWD:00179B4C]|ap_Misc [KYWD:001A8B4B]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000D76F1	OxygenTankTrap					BothHands [EQUP:00013F45]	xTranRifle [TRNS:00031C14]		0		0	
000DD4B1	crAssaultronLaser	Assaultron Laser				MiddleHand [EQUP:0001A02F]	xTranRifleBig [TRNS:00031C16]		4	WeaponTypeLaser [KYWD:00092A84]|AnimAssaultronLaser [KYWD:001B2914]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeEnergy "Energy" [KYWD:0033A7C9]	0	
000DDB7C	GammaGun	Gamma Gun			15	RightHand [EQUP:00013F42]	Pistol00 [TRNS:00071DDD]	UIBreakWeapon [SNDR:004ED233]	17	AnimsGripPistol [KYWD:0001F948]|s_IronSightsPistol [KYWD:0003ADB3]|WeaponTypePistol "Pistol" [KYWD:0004A0A0]|AnimsGammaGun [KYWD:000DDB7D]|s_40_PistolGamma [KYWD:000E0F40]|ObjectTypeWeapon [KYWD:000F4AEA]|QuickkeyGun [KYWD:0010C485]|ma_GammaGun [KYWD:001889D4]|VATSWeaponLargeProjectile [KYWD:001A7B79]|ma_CanHaveNullMuzzle [KYWD:001C9E78]|WeaponTypeGammaGun [KYWD:00225762]|WeaponTypeRanged [KYWD:0033A7C8]|WeaponTypeEnergy "Energy" [KYWD:0033A7C9]|UI_WeaponTypeGammaGun [KYWD:003CFD72]|ma_legendarycrafting_weaponranged "RANGED WEAPONS" [KYWD:005FF5F5]|ma_Misc_Legendarycrafting_Weapon_Ranged4 [KYWD:006214D7]|ma_legendarycrafting_weapon "WEAPONS" [KYWD:00787E6E]	9	ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName "Unique Effect" [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
