LSCR_FormID	LSCR_EDID	DESC_Description	ConditionCount	Conditions	BNAM_BackgroundImage	NNAM_LoadingScreenNIF	TNAM_Transform	ONAM_Rotation	ZNAM_Zoom	MOD2_CameraPath	PNAM_Unknown	LSST_LoadingScreenText	RefBy_QUST_FormIDs	RefBy_QUST_EDIDs
003C2491	CUT_Quickplay_TeamDeathmatch_01	Eliminate enemy players to score points and bring victory for your side in Team Deathmatch!	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|3.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_VaultTec.DDS	LS_Armor01MarineCombat [STAT:0011174E]	LSCombat03 [TRNS:00219812]				00			
003C2492	CUT_Quickplay_PvE_01	Quickplay PvE matches you with other players, ready to face the challenges of Appalachia as a team.	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|2.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Stream.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
003C2C1D	CUT_Quickplay_TeamDeathmatch_03	The arenas for Team Deathmatch are randomly picked from one of the many locations within Appalachia.	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|3.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_CloudyFoggyRoute89.DDS	LS_Armor01MarineCombat [STAT:0011174E]	LSCombat03 [TRNS:00219812]				00			
003DB66E	CUT_Quickplay_PvE_SFZ08	You and your team are entering the Irrational Fear event. Help a struggling Mr. Handy unit retrieve honey. What could go wrong?	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayKeywordLoadingInto|002237A8:SFZ08_Fear_QuestStartKeyword:KYWD|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_KanawhaCounty.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
0052C1AC	CUT_Quickplay_PvE_02	Each Quickplay PvE session features an Event that you and your team are tasked with completing. Work together!	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|2.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_AbandonedTruck.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
0052C1AE	CUT_Quickplay_TeamDeathmatch_02	Team Deathmatch is timed. The highest scoring team within the time limit, or the first team to score 50 points, wins.	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|3.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LS_Armor01MarineCombat [STAT:0011174E]	LSCombat03 [TRNS:00219812]				00			
0052C1B0	Armor_PowerArmor_T45	Built by defense contractor West Tek, the T-45 series of Power Armor was the first to be successfully deployed on the battlefield. Its introduction changed the nature of modern warfare.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Road4.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1B5	Armor_PowerArmor_Excavator	Developed by Garrahan Mining Co., the "Excavator" class of Power Armor never saw full production, despite being heavily advertised in Appalachia as the future of mining.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MountaintopExcavator2.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1AF	Armor_PowerArmor_Frame	Even without additional limb armor, a Power Armor frame still provides tactical advantages, like increased carry weight, greater melee damage and the elimination of falling damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MorningFog.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1C1	Chems_Daytripper	Sold as "happiness in a bottle," Daytripper grants a temporary bonus to Charisma and Luck, but also a temporary penalty to Strength.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Park.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1B1	Armor_PowerArmor_T51	The Battle of Anchorage saw the first deployment of the advanced T-51 series of Power Armor. With advanced servos and composite armor plating, it was a vast improvement over earlier models.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_PowerStation.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1BF	Chems_DaddyO	Who needs friends when you're this smart? Using Daddy-O grants a temporary bonus to Intelligence and Perception, but also a temporary penalty to Charisma.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_CloudyFoggyRoute89.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1BD	Chems_Buffout	A powerful steroid, Buffout grants temporary bonuses to Strength, Endurance, and maximum Health.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Bridge.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1B2	Armor_PowerArmor_T60	The most advanced suits of Power Armor to see extensive use were the T-60 models. By the time of the Great War, they were a common sight in all U.S. military engagements.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Field.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1BB	Armor_Marine	Outclassed only by Power Armor, every piece of Marine Combat Armor provides exceptional protection in nearly every battlefield scenario.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Route89.DDS	LS_Armor01MarineCombat [STAT:0011174E]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1B4	Armor_PowerArmor_Raider	Scavenged and restored by Appalachia's vicious and anarchistic gangs, Raider Power Armor features crude plating, rusty spikes, and significant battlefield protection.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MushroomCloud.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1B9	Armor_Combat	Designed to protect soldiers in any situation, Combat Armor gives the wearer equal amounts of resistance to physical and energy damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_AbandonedTruck.DDS	LS_Armor07Combat [STAT:0024871E]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1C2	Chems_MedX	A powerful painkiller, Med-X grants a temporary bonus to Damage Resistance.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MountaintopExcavator.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1B8	Armor_Metal	Constructed of thick, hand-welded steel or aluminum, Metal Armor offers additional protection against physical damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_KanawhaCounty.DDS	LS_ArmorMetal [SCOL:00246AF0]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1BE	Chems_Calmex	Highly sought after by hunters and assassins throughout the Wasteland, Calmex grants a temporary bonus to Perception, Agility, and Sneak Attack damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_CloudyFoggyWoods.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1AD	CUT_Quickplay_PvE_03	Already grouped up with your friends? Quickplay PvE will match you all together.	2	Subject|GetGlobalValue|00036E00:TrueGlobal:GLOB|0.000000|10000000##Subject|GetQuickplayModeLoadingInto|00 00 00 00|2.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Skyline.DDS	DLC06VaultBoyStatue "Vault-Boy Statue" [STAT:00112899]	DLC06_LSVaultBoyGirl [TRNS:0011227D]				00			
0052C1BA	Armor_Robot	Crafted from actual destroyed robots, the high-tech plating of Robot Armor offers additional protection against energy damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetClear.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1B6	Armor_Underarmor	If you're worried your Vault Suit doesn't offer enough protection, you can mix and match pieces of all armor types and wear them directly over it.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetFog.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1C0	Survival_02	Be careful taking too many chems. Not only do you risk addiction, but many chems increase hunger and thirst.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MorningFog.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052C1B7	Armor_Leather	Thick layers of animal hide makes Leather Armor particularly suited to protecting against energy damage.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Road3.DDS	LS_Armor05Leather [STAT:00248711]	LSArmorFireman [TRNS:0006A12F]				00			
0052C1BC	Chems_Addictol	Addictol completely cures its user of all addictions.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_WatchTower.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D021	Region_AshHeap05	The Garrahans and Hornwrights were the two major families in charge of Appalachia's mining industry. They owned lavish estates in the mountains overlooking their precious mines.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000045D0:RegionMTRLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetFog.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D007	Chems_Psycho	Developed by the United States military as a combat drug, Psycho grants a temporary bonus to Damage dealt and Damage Resistance.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Plane.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D00A	Chems_Xcell	The experimental chem X-Cell grants a temporary bonus to every SPECIAL attribute.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetClear.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D010	Region_ToxicValley01	The region known to survivors as the "Toxic Valley" is covered by industrial white powder and polluted water sources.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00088ABA:RegionToxicValleyLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D009	Chems_Stimpak	The medication inside a Stimpak heals injuries and can even restore damaged limbs.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_MushroomCloud.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D020	Region_AshHeap04	Before the war, Mount Blair was a large-scale coal mining site where gigantic digging machines removed entire portions of the mountaintop at once.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000045D0:RegionMTRLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_MountainTopSky.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D006	Chems_Mentats	Popular with students and scientists alike, Mentats grant a temporary bonus to Perception and Intelligence.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetFog.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D01E	Region_AshHeap02	In the region survivors dubbed the "Ash Heap," a thick layer of filthy smoke blankets the area, providing cover for friend and foe alike.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000045D0:RegionMTRLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_CapitolBuilding.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D00E	Region_Forest04	Charleston was the capital of West Virginia and one of the largest cities in the area. Prior to the Great War, it was a hotbed of political dissent and saw countless protests for workers' rights.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00095004:RegionForestFloodlandsLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Stream.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D01C	Region_Whitespring03	Under great financial strain before the war, The Whitespring was forced to sell much of its surrounding land and replace the resort staff with more cost-effective robots.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000989F5:LocWhitespringTheWhitespringLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_MorningFog.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D013	Region_ToxicValley04	The town of Grafton was built on the shores of the Tygart Valley River. It was a hub for shipping prior to the Great War, thanks to having both water and railroad access.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00088ABA:RegionToxicValleyLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D01A	Region_Whitespring01	Built in 1858, The Whitespring was famous for its southern style and sulphur springs.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000989F5:LocWhitespringTheWhitespringLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Plane.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D00C	Region_Forest02	Although relatively untouched by the bombs, the Forest region of Appalachia is still home to the mutated beasts that now roam the countryside. Survivors even reported finding mutated plants with unusual properties...	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00095004:RegionForestFloodlandsLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Road2.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D00F	Region_Forest05	A small town near the Vault 76 construction site, Flatwoods was home to a local motel, tavern, and church. Vault-Tec projections for the survivability of the residents of this area were not optimistic.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00095004:RegionForestFloodlandsLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Road4.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D018	Region_SavageDivide04	Nestled in the mountains is a spiritual retreat center known as the Palace of the Winding Path. Its unique architecture stands in stark contrast to the rest of Appalachia.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_MushroomCloud.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D011	Region_ToxicValley02	The lake and other polluted waters of the Toxic Valley region are home to all manner of mutated, aquatic beasts.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00088ABA:RegionToxicValleyLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D016	Region_SavageDivide02	Before the Great War, the mountains of Appalachia were home to ski resorts, bed and breakfasts, and cabins available to rent by eager tourists.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_AbandonedTruck.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D014	Region_ToxicValley05	Built to provide power to the Steel Mill, the Grafton Dam is now filled with the polluted waters of the Toxic Valley.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00088ABA:RegionToxicValleyLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D015	Region_SavageDivide01	The region of Appalachia known to survivors as the "Savage Divide" is a mountainous area whose rocky landscape is difficult to cross and easy to get lost in.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Stream.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D008	Chems_Rads	To fight radiation, use the chems Rad-X and RadAway. Take Rad-X to temporarily increase your Radiation Resistance. Take RadAway if you've already been exposed.	0		data\Textures\Interface\LoadingMenuBackgrounds\LS_Building.DDS	LS_SurvivalFoodStash01 [SCOL:0029BF82]	LSSurvivalFoodStash [TRNS:0029BF84]				00			
0052D01F	Region_AshHeap03	The mines deep within Appalachia's mountains still hold riches for those brave enough to venture below...	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000045D0:RegionMTRLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_WatchTower.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D00D	Region_Forest03	While Morgantown was home to Vault-Tec University and experienced something of a re-vitalization before the war, the townspeople all knew the harsh truth: Vault entrance was not guaranteed.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00095004:RegionForestFloodlandsLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Skyline2.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D01B	Region_Whitespring02	The Whitespring Resort had a long history of business with the federal government, and counted sitting US Presidents among its guests.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000989F5:LocWhitespringTheWhitespringLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Route89.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D012	Region_ToxicValley03	Grafton Steel Mill was the center of economic development for the town of Grafton, and its large, industrial machines remain relatively intact.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00088ABA:RegionToxicValleyLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_ToxicValley.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D017	Region_SavageDivide03	The Top of the World was originally an enormous ski lift station, complete with shops and restaurants at its peak.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Road2.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D019	Region_SavageDivide05	Government facilities dot the landscape of Appalachia's mountains. Trading rumors of the goings on inside those fenced-in walls was a popular pre-war pastime.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_MountaintopExcavator.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
0052D00B	Region_Forest01	The region surrounding Vault 76 was known as "the Forest" to the survivors of Appalachia. Still rich in plant and animal life, it is an ideal place to scrounge for food and water.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|00095004:RegionForestFloodlandsLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Skyline3.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0052D01D	Region_AshHeap01	Smoke and cinders constantly bellow up from the mines in the Ash Heap. Survivors believed this was caused by fires in the tunnels below, raging unceasingly for some unknown reason.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000045D0:RegionMTRLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_MountaintopExcavator2.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
00530433	Faction_FreeStates04	Most of Appalachia considered the Free States movement to be nothing but political agitators and traitors. After the war, many of these same people would turn to the Free States for help.	2	Subject|GetInCurrentLocation|000045E1:RegionSwampForestLocation:LCTN|1.000000|10000000##Subject|GetRandomPercent|00 00 00 00|5.000000|10100000	data\Textures\Interface\LoadingMenuBackgrounds\LS_SunsetFog.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
00530431	Faction_FreeStates02	Paranoid that the government was lying to its people about the Vault program, the Free States movement built their own concrete bunkers to survive in case of nuclear devastation.	2	Subject|GetInCurrentLocation|000045E1:RegionSwampForestLocation:LCTN|1.000000|10000000##Subject|GetRandomPercent|00 00 00 00|5.000000|10100000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Skyline3.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
00530432	Faction_FreeStates03	While Raleigh Clay was the public face of the Free States, his arrest would reveal US Senator Sam Blackwell to also be a driving force behind the movement.	2	Subject|GetInCurrentLocation|000045E1:RegionSwampForestLocation:LCTN|1.000000|10000000##Subject|GetRandomPercent|00 00 00 00|5.000000|10100000	data\Textures\Interface\LoadingMenuBackgrounds\LS_VaultTec.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
0053042A	Region_CranberryBog03	Allegheny Asylum was originally built in the mid-1800s as a treatment facility for the mentally ill.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|000012A2:RegionCranberryBogLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Route89.DDS	LS_ArmorFireman [STAT:00007314]	LSArmorFireman [TRNS:0006A12F]				00			
00530436	Faction_Raiders02	Expert scavengers, the Raider groups of Appalachia were surprisingly ingenious when it came to salvaging old world technology.	2	Subject|GetRandomPercent|00 00 00 00|5.000000|10100000##Subject|GetInCurrentLocation|001789F8:RegionMountainLocation:LCTN|1.000000|10000000	data\Textures\Interface\LoadingMenuBackgrounds\LS_Route89.DDS	LSCreatureGrafton [STAT:002982B3]	LSCreatureGrafton01 [TRNS:0003A3CF]				00			
