ARMO_FormID	ARMO_EDID	SlotIndex	AttachPoint_FormID	AttachPoint_EDID	AttachPoint_Name
00056738	Armor_BoS_Underarmor_BOSFatigues	1	0089D6BB	ap_underarmor_style	Style
0017CD84	Armor_VaultSuit76_Underarmor	0	00022821	ap_armor_Lining	No Misc
0017CD84	Armor_VaultSuit76_Underarmor	1	0089D6BB	ap_underarmor_style	Style
003BE8AB	Armor_VaultSuit96_Underarmor	0	00022821	ap_armor_Lining	No Misc
003BE8AB	Armor_VaultSuit96_Underarmor	1	0089D6BB	ap_underarmor_style	Style
003BE8A6	POST_Armor_VaultSuit63_Underarmor	0	00022821	ap_armor_Lining	No Misc
003BE8A6	POST_Armor_VaultSuit63_Underarmor	1	0089D6BB	ap_underarmor_style	Style
003BE8AE	Armor_VaultSuitVT_Underarmor	0	00022821	ap_armor_Lining	No Misc
003BE8AE	Armor_VaultSuitVT_Underarmor	1	0089D6BB	ap_underarmor_style	Style
003B7D8D	Armor_Enclave_Underarmor_Uniform_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D75	Armor_RaiderMod_Underarmor_Harness_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D8E	Armor_Enclave_Underarmor_Uniform_02_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D77	Armor_RaiderMod_Underarmor_RaiderLeathers_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D76	Armor_RaiderMod_Underarmor_LongJohns_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D78	Armor_RaiderMod_Underarmor_RoadLeathers_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003B7D9D	Armor_BoS_Soldier_Underarmor_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003D7527	Armor_Casual_Underarmor_FlannelJeans_NotPlayable	0	00022821	ap_armor_Lining	No Misc
003D7526	Armor_Casual_Underarmor_ShirtJeans_NotPlayable	0	00022821	ap_armor_Lining	No Misc
0050E3E9	Armor_VaultSuit94_Underarmor_NotPlayable	0	00022821	ap_armor_Lining	No Misc
00494188	ATX_Armor_Casual_Underarmor_TrackSuitGrafton	0	00022821	ap_armor_Lining	No Misc
00494188	ATX_Armor_Casual_Underarmor_TrackSuitGrafton	1	0089D6BB	ap_underarmor_style	Style
004716B9	ATX_Armor_Casual_Underarmor_TrackSuitVTU	0	00022821	ap_armor_Lining	No Misc
004716B9	ATX_Armor_Casual_Underarmor_TrackSuitVTU	1	0089D6BB	ap_underarmor_style	Style
0040DEF8	ATX_TP_Armor_Casual_Underarmor_BowlingTeam	0	00022821	ap_armor_Lining	No Misc
0040DEF8	ATX_TP_Armor_Casual_Underarmor_BowlingTeam	1	0089D6BB	ap_underarmor_style	Style
0040E0DF	ATX_Armor_Casual_Underarmor_RollerDerby	0	00022821	ap_armor_Lining	No Misc
0040E0DF	ATX_Armor_Casual_Underarmor_RollerDerby	1	0089D6BB	ap_underarmor_style	Style
0040E408	ATX_Armor_Casual_Underarmor_TacticalOps	0	00022821	ap_armor_Lining	No Misc
0040E408	ATX_Armor_Casual_Underarmor_TacticalOps	1	0089D6BB	ap_underarmor_style	Style
0040E4BD	ATX_Armor_Casual_Underarmor_VintageFootball	0	00022821	ap_armor_Lining	No Misc
0040E4BD	ATX_Armor_Casual_Underarmor_VintageFootball	1	0089D6BB	ap_underarmor_style	Style
00424551	zzzArmor_Babylon_Intro_VaultSuit51_Underarmor_NotPlayable	0	00022821	ap_armor_Lining	No Misc
00425CB7	ATX_Armor_Casual_Underarmor_MaskedWrestler	0	0089D6BB	ap_underarmor_style	Style
00425D51	ATX_Armor_Casual_Underarmor_TinfoilSuit	0	00022821	ap_armor_Lining	No Misc
00425D51	ATX_Armor_Casual_Underarmor_TinfoilSuit	1	0089D6BB	ap_underarmor_style	Style
0037D2A1	Babylon_Armor_VaultSuit51_Underarmor	0	00022821	ap_armor_Lining	No Misc
0037D2A1	Babylon_Armor_VaultSuit51_Underarmor	1	0089D6BB	ap_underarmor_style	Style
00544C18	ATX_Underarmor_TacticalOps_Flag	0	00022821	ap_armor_Lining	No Misc
00544C18	ATX_Underarmor_TacticalOps_Flag	1	0089D6BB	ap_underarmor_style	Style
00544C17	ATX_Armor_Casual_Underarmor_TacticalOps_Camo	0	00022821	ap_armor_Lining	No Misc
00544C17	ATX_Armor_Casual_Underarmor_TacticalOps_Camo	1	0089D6BB	ap_underarmor_style	Style
0054729D	ATX_Armor_Casual_Underarmor_CountryGirl	0	00022821	ap_armor_Lining	No Misc
0054729D	ATX_Armor_Casual_Underarmor_CountryGirl	1	0089D6BB	ap_underarmor_style	Style
0054AEFF	ATX_Armor_Casual_Underarmor_FlagCoveralls_July4th	0	00022821	ap_armor_Lining	No Misc
0054AEFF	ATX_Armor_Casual_Underarmor_FlagCoveralls_July4th	1	0089D6BB	ap_underarmor_style	Style
00556F2B	ATX_Armor_Casual_Underarmor_RacecarDriver	0	00022821	ap_armor_Lining	No Misc
00556F2B	ATX_Armor_Casual_Underarmor_RacecarDriver	1	0089D6BB	ap_underarmor_style	Style
005576CF	ATX_Armor_Underarmor_RaiderAdvanced	0	00022821	ap_armor_Lining	No Misc
005576CF	ATX_Armor_Underarmor_RaiderAdvanced	1	0089D6BB	ap_underarmor_style	Style
00567D4A	Babylon_Armor_Casual_Underarmor_TrackSuitNW	0	00022821	ap_armor_Lining	No Misc
00567D4A	Babylon_Armor_Casual_Underarmor_TrackSuitNW	1	0089D6BB	ap_underarmor_style	Style
0058B26D	ATX_Armor_Underarmor_RaiderAdvanced_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
00590033	Armor_Casual_Underarmor_MilitaryFatigues_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
00592178	zzzArmor_Casual_Underarmor_Overalls	0	00022821	ap_armor_Lining	No Misc
0059672F	Armor_Casual_Underarmor_Overalls_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
0059766D	Armor_Underarmor_SecretService_Uniform	0	00022821	ap_armor_Lining	No Misc
0059766D	Armor_Underarmor_SecretService_Uniform	1	0089D6BB	ap_underarmor_style	Style
0059A80E	Armor_Underarmor_RaiderAdvanced_BloodEagle	0	00022821	ap_armor_Lining	No Misc
0059A80E	Armor_Underarmor_RaiderAdvanced_BloodEagle	1	0089D6BB	ap_underarmor_style	Style
0059AA5F	Armor_Underarmor_RaiderAdvanced_BloodEagle_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
0059F7B5	Armor_Underarmor_SecretService_Uniform_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
0059F7B5	Armor_Underarmor_SecretService_Uniform_NONPLAYABLE	1	000536C6	ap_armor_Tier	Material
005A1C11	ATX_Armor_Casual_Underarmor_Responders_Chief	0	00022821	ap_armor_Lining	No Misc
005A1C11	ATX_Armor_Casual_Underarmor_Responders_Chief	1	0089D6BB	ap_underarmor_style	Style
005A2D15	Armor_RaiderMod_Underarmor_RaiderLeathers_AldridgeScorched_Gloves_NotPlayable	0	00022821	ap_armor_Lining	No Misc
005A52FA	zzzATX_Armor_Underarmor_ResponderFireChief	0	00022821	ap_armor_Lining	No Misc
005B672D	ATX_Armor_Casual_Underarmor_CamoSecretService_Uniform	0	00022821	ap_armor_Lining	No Misc
005B672D	ATX_Armor_Casual_Underarmor_CamoSecretService_Uniform	1	0089D6BB	ap_underarmor_style	Style
005B672E	ATX_Armor_Casual_Underarmor_BlackSecretService_Uniform	0	00022821	ap_armor_Lining	No Misc
005B672E	ATX_Armor_Casual_Underarmor_BlackSecretService_Uniform	1	0089D6BB	ap_underarmor_style	Style
005B6D6F	Babylon_Armor_Casual_Underarmor_Denim_Survivors2020	0	00022821	ap_armor_Lining	No Misc
005B6D6F	Babylon_Armor_Casual_Underarmor_Denim_Survivors2020	1	0089D6BB	ap_underarmor_style	Style
005DD0B7	ATX_F1_Armor_Casual_Underarmor_MummyCostume	0	00022821	ap_armor_Lining	No Misc
005DD0B7	ATX_F1_Armor_Casual_Underarmor_MummyCostume	1	0089D6BB	ap_underarmor_style	Style
005DD137	ATX_Armor_Casual_Underarmor_RobberCostume	0	00022821	ap_armor_Lining	No Misc
005DD137	ATX_Armor_Casual_Underarmor_RobberCostume	1	0089D6BB	ap_underarmor_style	Style
005EFA68	Underarmor_BOS_Infantry	0	00022821	ap_armor_Lining	No Misc
005EFA68	Underarmor_BOS_Infantry	1	0089D6BB	ap_underarmor_style	Style
005EFEB6	ATX_F1_Underarmor_BOS_Infantry_Camo	0	00022821	ap_armor_Lining	No Misc
005EFEB6	ATX_F1_Underarmor_BOS_Infantry_Camo	1	0089D6BB	ap_underarmor_style	Style
005F86CF	Armor_VaultSuit96_Underarmor_NotPlayable	0	00022821	ap_armor_Lining	No Misc
00606B44	Armor_Marine_Underarmor_Wetsuit_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
00606B44	Armor_Marine_Underarmor_Wetsuit_NONPLAYABLE	1	003BEEFD	ap_Armor_SURV_Description	
00612383	Armor_VaultSuit51_Underarmor_NotPlayable	0	00022821	ap_armor_Lining	No Misc
006216F4	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Mantaman	0	00022821	ap_armor_Lining	No Misc
006216F4	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Mantaman	1	0089D6BB	ap_underarmor_style	Style
006216FB	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Grognak	0	00022821	ap_armor_Lining	No Misc
006216FB	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Grognak	1	0089D6BB	ap_underarmor_style	Style
006216F8	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_MistressMystery	0	00022821	ap_armor_Lining	No Misc
006216F8	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_MistressMystery	1	0089D6BB	ap_underarmor_style	Style
006216FC	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_SilverShroud	0	00022821	ap_armor_Lining	No Misc
006216FC	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_SilverShroud	1	0089D6BB	ap_underarmor_style	Style
006216F5	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Inspector	0	00022821	ap_armor_Lining	No Misc
006216F5	SCORE_S6_Armor_Casual_Underarmor_TrustySidekick_Inspector	1	0089D6BB	ap_underarmor_style	Style
006677D3	ATX_Armor_Casual_Underarmor_SecretService_Uniform_Union	0	00022821	ap_armor_Lining	No Misc
006677D3	ATX_Armor_Casual_Underarmor_SecretService_Uniform_Union	1	0089D6BB	ap_underarmor_style	Style
0066CCA1	ATX_Armor_Casual_Underarmor_Communist_Red_SecretService_Uniform	0	00022821	ap_armor_Lining	No Misc
0066CCA1	ATX_Armor_Casual_Underarmor_Communist_Red_SecretService_Uniform	1	0089D6BB	ap_underarmor_style	Style
0066D419	ATX_Armor_Casual_Underarmor_Raiderish_SecretService_Uniform	0	00022821	ap_armor_Lining	No Misc
0066D419	ATX_Armor_Casual_Underarmor_Raiderish_SecretService_Uniform	1	0089D6BB	ap_underarmor_style	Style
00678767	SCORE_S11_Armor_Casual_Underarmor_SecretService_Uniform_NukaTwist	0	00022821	ap_armor_Lining	No Misc
00678767	SCORE_S11_Armor_Casual_Underarmor_SecretService_Uniform_NukaTwist	1	0089D6BB	ap_underarmor_style	Style
00684EE1	SCORE_S12_ARMO_Underarmor_DaringAdventure	0	00022821	ap_armor_Lining	No Misc
00684EE1	SCORE_S12_ARMO_Underarmor_DaringAdventure	1	0089D6BB	ap_underarmor_style	Style
006A260B	SCORE_S13_Underarmor_Luchador	0	00022821	ap_armor_Lining	No Misc
006A260B	SCORE_S13_Underarmor_Luchador	1	0089D6BB	ap_underarmor_style	Style
006A908C	ATX_ARMO_Underarmor_FreeStatesResistance	0	00022821	ap_armor_Lining	No Misc
006A908C	ATX_ARMO_Underarmor_FreeStatesResistance	1	0089D6BB	ap_underarmor_style	Style
006BE8D3	Armor_BoS_Knight_Underarmor	0	00022821	ap_armor_Lining	No Misc
006BE8D3	Armor_BoS_Knight_Underarmor	1	0089D6BB	ap_underarmor_style	Style
006DAF7E	SCORE_S14_Underarmor_AlaskanWinter	0	00022821	ap_armor_Lining	No Misc
006DAF7E	SCORE_S14_Underarmor_AlaskanWinter	1	0089D6BB	ap_underarmor_style	Style
006E7348	Armor_XPD_AC_Muni_Underarmor	0	00022821	ap_armor_Lining	No Misc
006E7348	Armor_XPD_AC_Muni_Underarmor	1	0089D6BB	ap_underarmor_style	Style
006FB265	Armor_VaultSuit76_Underarmor_Clean_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
0073294D	ATX_Armor_VaultSuit33_Underarmor_Clean	0	00022821	ap_armor_Lining	No Misc
0073294D	ATX_Armor_VaultSuit33_Underarmor_Clean	1	0089D6BB	ap_underarmor_style	Style
0076A70A	Armor_XPD_AC_Muni_Underarmor_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
0078AC91	SCORE_S18_ARMO_Underarmor_BlueRidge_SecretService	0	00022821	ap_armor_Lining	No Misc
0078AC91	SCORE_S18_ARMO_Underarmor_BlueRidge_SecretService	1	0089D6BB	ap_underarmor_style	Style
0078AC92	SCORE_S18_Armor_Underarmor_BlueRidge_BoS	0	00022821	ap_armor_Lining	No Misc
0078AC92	SCORE_S18_Armor_Underarmor_BlueRidge_BoS	1	0089D6BB	ap_underarmor_style	Style
00787E5A	RD01_Armor_Enclave_Underarmor_Uniform_03	0	00022821	ap_armor_Lining	No Misc
00787E5A	RD01_Armor_Enclave_Underarmor_Uniform_03	1	0089D6BB	ap_underarmor_style	Style
00787E59	RD01_Armor_Enclave_Underarmor_Uniform_03_NotPlayable	0	00022821	ap_armor_Lining	No Misc
007CF73F	Armor_Casual_Underarmor_Dave_NotPlayable	0	00022821	ap_armor_Lining	No Misc
0085D73D	ATX_ARMO_Underarmor_21Vaultsuit	0	00022821	ap_armor_Lining	No Misc
0085D73D	ATX_ARMO_Underarmor_21Vaultsuit	1	0089D6BB	ap_underarmor_style	Style
008AA92B	Armor_Casual_Underarmor_ShirtJeans_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
008AA92B	Armor_Casual_Underarmor_ShirtJeans_NONPLAYABLE	1	0089D6BB	ap_underarmor_style	Style
008B7350	RTSV_Clothes_Responders_Jumpsuit_Paramedic_NotPlayable	0	00022821	ap_armor_Lining	No Misc
008B7350	RTSV_Clothes_Responders_Jumpsuit_Paramedic_NotPlayable	1	0089D6BB	ap_underarmor_style	Style
008B7B87	Armor_BoS_Soldier_Underarmor_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
008B7B87	Armor_BoS_Soldier_Underarmor_NONPLAYABLE	1	0089D6BB	ap_underarmor_style	Style
008BFFAF	SCORE_S25_ARMO_Underarmor_SecretService_Responders	0	00022821	ap_armor_Lining	No Misc
008BFFAF	SCORE_S25_ARMO_Underarmor_SecretService_Responders	1	0089D6BB	ap_underarmor_style	Style
008C2B98	SCORE_S25_ARMO_Underarmor_CivilEngineer_Responders	0	00022821	ap_armor_Lining	No Misc
008C2B98	SCORE_S25_ARMO_Underarmor_CivilEngineer_Responders	1	0089D6BB	ap_underarmor_style	Style
008F570F	Armor_BoS_Knight_Underarmor_Shin_NONPLAYABLE	0	00022821	ap_armor_Lining	No Misc
008F570F	Armor_BoS_Knight_Underarmor_Shin_NONPLAYABLE	1	0089D6BB	ap_underarmor_style	Style
